PLANT_INFO_SimulationTime:low,PLANT_INFO_VC:low,PLANT_INFO_Mode:low,CTRL_INFO_ModeSetting:low,PLANT_INFO_SimulationTime:high,PLANT_INFO_VC:high,PLANT_INFO_Mode:high,CTRL_INFO_ModeSetting:high
0,666,1,0,0,509,0,0
0,665,1,0,1,509,0,0
0,664,0,0,2,510,0,0
0,665,0,0,3,510,0,0
0,666,0,0,4,511,0,0
0,667,0,0,5,511,0,0
0,668,0,0,6,512,0,0
0,670,0,0,6,512,0,0
0,671,0,0,8,513,0,0
0,672,0,0,9,514,0,0
0,673,0,0,10,514,0,0
0,674,0,0,11,515,0,0
0,675,0,0,12,515,0,0
0,676,0,0,13,516,0,0
0,677,0,0,14,516,0,0
0,678,0,0,15,517,0,0
0,679,0,0,16,518,0,0
0,680,0,0,17,518,0,0
0,681,0,0,18,519,0,0
0,682,0,0,19,519,0,0
0,683,0,0,20,520,0,0
0,684,0,0,21,520,0,0
0,685,0,0,22,521,0,0
0,686,0,0,23,522,0,0
0,687,0,0,24,522,0,0
0,688,0,0,25,523,0,0
0,689,0,0,26,523,0,0
0,691,0,0,27,524,0,0
0,692,0,0,28,524,0,0
0,693,0,0,29,525,0,0
0,694,0,0,30,526,0,0
0,695,0,0,31,526,0,0
0,696,0,0,32,527,0,0
0,697,0,0,33,527,0,0
0,698,0,0,34,528,0,0
0,699,0,0,35,529,0,0
0,700,0,0,36,529,0,0
0,701,0,0,37,530,0,0
0,702,0,0,38,530,0,0
0,703,0,0,39,531,0,0
0,704,0,0,40,531,0,0
0,705,0,0,41,532,0,0
0,706,0,0,42,533,0,0
0,707,0,0,43,533,0,0
0,708,0,0,44,534,0,0
0,709,0,0,45,534,0,0
0,710,0,0,46,535,0,0
0,711,0,0,47,536,0,0
0,712,0,0,48,536,0,0
0,713,0,0,49,537,0,0
0,714,0,0,50,537,0,0
0,715,0,0,51,538,0,0
0,716,0,0,52,539,0,0
0,717,0,0,53,539,0,0
0,718,0,0,54,540,0,0
0,719,0,0,55,540,0,0
0,720,0,0,56,541,0,0
0,721,0,0,57,542,0,0
0,722,0,0,58,542,0,0
0,723,0,0,59,543,0,0
0,724,0,0,60,543,0,0
0,725,0,0,61,544,0,0
0,726,0,0,62,545,0,0
0,727,0,0,63,545,0,0
0,728,0,0,64,546,0,0
0,729,0,0,65,547,0,0
0,730,0,0,66,547,0,0
0,731,0,0,67,548,0,0
0,732,0,0,68,548,0,0
0,733,0,0,69,549,0,0
0,734,0,0,70,550,0,0
0,735,0,0,71,550,0,0
0,736,0,0,72,551,0,0
0,737,0,0,73,551,0,0
0,738,0,0,74,552,0,0
0,739,0,0,75,553,0,0
0,740,0,0,76,553,0,0
0,741,0,0,77,554,0,0
0,742,0,0,78,555,0,0
0,743,0,0,79,555,0,0
0,744,0,0,80,556,0,0
0,745,0,0,81,556,0,0
0,746,0,0,82,557,0,0
0,747,0,0,83,558,0,0
0,748,0,0,84,558,0,0
0,749,0,0,85,559,0,0
0,750,0,0,86,560,0,0
