PLANT_INFO_SimulationTime:low,PLANT_INFO_VC:low,PLANT_INFO_Mode:low,CTRL_INFO_ModeSetting:low,PLANT_INFO_SimulationTime:high,PLANT_INFO_VC:high,PLANT_INFO_Mode:high,CTRL_INFO_ModeSetting:high
0,2014,0,1,0,645,0,0
0,2014,0,1,1,646,0,0
0,2014,1,1,2,648,0,0
0,2013,1,1,3,650,0,0
0,2011,1,1,4,652,0,0
0,2010,1,1,5,653,0,0
0,2009,1,1,6,655,0,0
0,2008,1,1,6,657,0,0
0,2006,1,1,8,659,0,0
0,2005,1,1,9,660,0,0
0,2004,1,1,10,662,0,0
0,2002,1,1,11,664,0,0
0,2001,1,1,12,666,0,0
0,2000,1,1,13,667,0,0
0,1999,1,1,14,669,0,0
0,1997,1,1,15,671,0,0
0,1996,1,1,16,673,0,0
0,1995,1,1,17,674,0,0
0,1993,1,1,18,676,0,0
0,1992,1,1,19,678,0,0
0,1991,1,1,20,680,0,0
0,1989,1,1,21,681,0,0
0,1988,1,1,22,683,0,0
0,1987,1,1,23,685,0,0
0,1986,1,1,24,687,0,0
0,1984,1,1,25,688,0,0
0,1983,1,1,26,690,0,0
0,1982,1,1,27,692,0,0
0,1980,1,1,28,694,0,0
0,1979,1,1,29,695,0,0
0,1978,1,1,30,697,0,0
0,1977,1,1,31,699,0,0
0,1975,1,1,32,701,0,0
0,1974,1,1,33,702,0,0
0,1973,1,1,34,704,0,0
0,1971,1,1,35,706,0,0
0,1970,1,1,36,708,0,0
0,1969,1,1,37,709,0,0
0,1967,1,1,38,711,0,0
0,1966,1,1,39,713,0,0
0,1965,1,1,40,714,0,0
0,1963,1,1,41,716,0,0
0,1962,1,1,42,718,0,0
0,1961,1,1,43,720,0,0
0,1959,1,1,44,721,0,0
0,1958,1,1,45,723,0,0
0,1957,1,1,46,725,0,0
0,1956,1,1,47,726,0,0
0,1954,1,1,48,728,0,0
0,1953,1,1,49,730,0,0
0,1952,1,1,50,732,0,0
0,1950,1,1,51,733,0,0
0,1949,1,1,52,735,0,0
