PLANT_INFO_SimulationTime:low,PLANT_INFO_VC:low,PLANT_INFO_Mode:low,CTRL_INFO_ModeSetting:low,PLANT_INFO_SimulationTime:high,PLANT_INFO_VC:high,PLANT_INFO_Mode:high,CTRL_INFO_ModeSetting:high
0,153,1,1,0,1374,0,0
0,151,1,1,1,1374,0,0
0,150,1,1,2,1374,0,0
0,149,1,1,3,1374,0,0
0,148,1,1,4,1374,0,0
0,147,1,1,5,1374,0,0
0,146,1,1,6,1374,0,0
0,145,1,1,6,1374,0,0
0,144,1,1,8,1374,0,0
0,143,1,1,9,1374,0,0
0,142,1,1,10,1374,0,0
0,140,1,1,11,1374,0,0
0,139,1,1,12,1374,0,0
0,138,1,1,13,1374,0,0
0,137,1,1,14,1374,0,0
0,136,1,1,15,1374,0,0
0,135,1,1,16,1374,0,0
0,134,1,1,17,1374,0,0
0,133,1,1,18,1374,0,0
0,132,1,1,19,1374,0,0
0,131,1,1,20,1374,0,0
0,130,1,1,21,1374,0,0
0,128,1,1,22,1374,0,0
0,127,1,1,23,1374,0,0
0,126,1,1,24,1374,0,0
0,125,1,1,25,1374,0,0
0,124,1,1,26,1374,0,0
0,123,1,1,27,1374,0,0
0,122,1,1,28,1374,0,0
0,121,1,1,29,1374,0,0
0,120,1,1,30,1373,0,0
0,119,1,1,31,1373,0,0
0,118,1,1,32,1373,0,0
0,117,1,1,33,1373,0,0
0,115,1,1,34,1373,0,0
0,114,1,1,35,1373,0,0
0,113,1,1,36,1373,0,0
0,112,1,1,37,1373,0,0
0,111,1,1,38,1373,0,0
0,110,1,1,39,1373,0,0
0,109,1,1,40,1373,0,0
0,108,1,1,41,1373,0,0
0,107,1,1,42,1373,0,0
0,106,1,1,43,1373,0,0
0,105,1,1,44,1373,0,0
0,104,1,1,45,1373,0,0
0,102,1,1,46,1373,0,0
0,101,1,1,47,1373,0,0
0,100,1,1,48,1373,0,0
0,99,1,1,49,1373,0,0
0,98,1,1,50,1373,0,0
0,97,1,1,51,1373,0,0
0,96,1,1,52,1373,0,0
0,95,1,1,53,1373,0,0
0,94,1,1,54,1373,0,0
0,93,1,1,55,1373,0,0
0,92,1,1,56,1373,0,0
0,91,1,1,57,1373,0,0
0,90,1,1,58,1373,0,0
0,89,1,1,59,1373,0,0
0,87,1,1,60,1373,0,0
0,86,1,1,61,1373,0,0
0,85,1,1,62,1373,0,0
0,84,1,1,63,1372,0,0
0,83,1,1,64,1372,0,0
0,82,1,1,65,1372,0,0
0,81,1,1,66,1372,0,0
0,80,1,1,67,1372,0,0
0,79,1,1,68,1372,0,0
0,78,1,1,69,1372,0,0
0,77,1,1,70,1372,0,0
0,76,1,1,71,1372,0,0
0,75,1,1,72,1372,0,0
0,74,1,1,73,1372,0,0
0,72,1,1,74,1372,0,0
0,71,1,1,75,1372,0,0
0,70,1,1,76,1372,0,0
0,69,1,1,77,1372,0,0
0,68,1,1,78,1372,0,0
0,67,1,1,79,1372,0,0
0,66,1,1,80,1372,0,0
0,65,1,1,81,1371,0,0
0,64,1,1,82,1371,0,0
0,63,1,1,83,1371,0,0
0,62,1,1,84,1371,0,0
0,61,1,1,85,1371,0,0
0,60,1,1,86,1371,0,0
0,59,1,1,87,1371,0,0
0,58,1,1,88,1371,0,0
0,57,1,1,89,1371,0,0
0,56,1,1,90,1371,0,0
0,54,1,1,91,1371,0,0
0,53,1,1,92,1371,0,0
0,52,1,1,93,1371,0,0
0,51,1,1,94,1371,0,0
0,50,1,1,95,1370,0,0
0,49,1,1,96,1370,0,0
0,48,1,1,97,1370,0,0
0,47,1,1,98,1370,0,0
0,46,1,1,99,1370,0,0
0,45,1,1,100,1370,0,0
0,44,1,1,101,1370,0,0
0,43,1,1,102,1370,0,0
0,42,1,1,103,1370,0,0
0,41,1,1,104,1370,0,0
0,40,1,1,105,1370,0,0
0,39,1,1,106,1370,0,0
0,38,1,1,107,1369,0,0
0,37,1,1,108,1369,0,0
0,36,1,1,109,1369,0,0
0,34,1,1,110,1369,0,0
0,33,1,1,111,1369,0,0
0,32,1,1,112,1369,0,0
0,31,1,1,113,1369,0,0
0,30,1,1,114,1369,0,0
0,29,1,1,115,1369,0,0
0,28,1,1,116,1369,0,0
0,27,1,1,117,1369,0,0
0,26,1,1,118,1368,0,0
0,25,1,1,119,1368,0,0
0,24,1,1,120,1368,0,0
0,23,1,1,121,1368,0,0
0,22,1,1,122,1368,0,0
0,21,1,1,123,1368,0,0
0,20,1,1,124,1368,0,0
0,19,1,1,125,1368,0,0
0,18,1,1,126,1368,0,0
0,17,1,1,127,1367,0,0
0,16,1,1,128,1367,0,0
0,15,1,1,129,1367,0,0
0,14,1,1,129,1367,0,0
0,13,1,1,130,1367,0,0
0,12,1,1,131,1367,0,0
0,10,1,1,132,1367,0,0
0,9,1,1,133,1367,0,0
0,8,1,1,134,1367,0,0
0,7,1,1,135,1366,0,0
0,6,1,1,136,1366,0,0
0,5,1,1,137,1366,0,0
0,4,1,1,138,1366,0,0
0,3,1,1,139,1366,0,0
0,2,1,1,140,1366,0,0
0,1,1,1,141,1366,0,0
0,0,1,1,142,1366,0,0
0,0,1,1,143,1365,0,0
0,0,2,1,144,1365,0,0
0,0,1,1,145,1365,0,0
0,0,2,1,146,1365,0,0
0,0,1,1,147,1365,0,0
0,0,2,1,148,1365,0,0
0,0,1,1,149,1365,0,0
0,0,2,1,150,1365,0,0
0,0,1,1,151,1365,0,0
0,0,2,1,152,1364,0,0
0,0,1,1,153,1364,0,0
0,0,2,1,154,1364,0,0
0,0,1,1,155,1364,0,0
0,0,2,1,156,1364,0,0
0,0,1,1,157,1364,0,0
0,0,2,1,158,1364,0,0
0,0,1,1,159,1364,0,0
0,0,2,1,160,1363,0,0
0,0,1,1,161,1363,0,0
0,0,2,1,162,1363,0,0
0,0,1,1,163,1363,0,0
0,0,2,1,164,1363,0,0
0,0,1,1,165,1363,0,0
0,0,2,1,166,1363,0,0
0,0,1,1,167,1363,0,0
0,0,2,1,168,1362,0,0
0,0,1,1,169,1362,0,0
0,0,2,1,170,1362,0,0
0,0,1,1,171,1362,0,0
0,0,2,1,172,1362,0,0
0,0,1,1,173,1362,0,0
