PLANT_INFO_SimulationTime:low,PLANT_INFO_VC:low,PLANT_INFO_Mode:low,CTRL_INFO_ModeSetting:low,PLANT_INFO_SimulationTime:high,PLANT_INFO_VC:high,PLANT_INFO_Mode:high,CTRL_INFO_ModeSetting:high
0,2045,1,0,0,215,0,0
0,2045,1,0,1,216,0,0
0,2044,0,0,2,218,0,0
0,2044,0,0,3,220,0,0
0,2045,0,0,4,222,0,0
0,2045,0,0,5,224,0,0
0,2046,0,0,6,226,0,0
0,2046,0,0,6,227,0,0
0,2047,0,0,8,229,0,0
0,2047,0,0,9,231,0,0
0,2048,0,0,10,233,0,0
0,2048,0,0,11,235,0,0
0,2049,0,0,12,237,0,0
0,2049,0,0,13,238,0,0
0,2050,0,0,14,240,0,0
0,2050,0,0,15,242,0,0
0,2051,0,0,16,244,0,0
0,2051,0,0,17,246,0,0
0,2052,0,0,18,248,0,0
0,2052,0,0,19,249,0,0
0,2053,0,0,20,251,0,0
0,2053,0,0,21,253,0,0
0,2054,0,0,22,255,0,0
0,2054,0,0,23,257,0,0
0,2055,0,0,24,259,0,0
0,2055,0,0,25,261,0,0
0,2056,0,0,26,262,0,0
0,2056,0,0,27,264,0,0
0,2057,0,0,28,266,0,0
0,2057,0,0,29,268,0,0
0,2058,0,0,30,270,0,0
0,2058,0,0,31,272,0,0
0,2059,0,0,32,273,0,0
0,2059,0,0,33,275,0,0
0,2060,0,0,34,277,0,0
0,2060,0,0,35,279,0,0
0,2061,0,0,36,281,0,0
0,2061,0,0,37,283,0,0
0,2062,0,0,38,285,0,0
0,2062,0,0,39,286,0,0
0,2063,0,0,40,288,0,0
0,2063,0,0,41,290,0,0
0,2064,0,0,42,292,0,0
0,2064,0,0,43,294,0,0
0,2065,0,0,44,296,0,0
0,2065,0,0,45,297,0,0
0,2066,0,0,46,299,0,0
0,2066,0,0,47,301,0,0
0,2066,0,0,48,303,0,0
0,2067,0,0,49,305,0,0
0,2067,0,0,50,307,0,0
0,2068,0,0,51,309,0,0
0,2068,0,0,52,310,0,0
0,2069,0,0,53,312,0,0
0,2069,0,0,54,314,0,0
0,2070,0,0,55,316,0,0
0,2070,0,0,56,318,0,0
0,2071,0,0,57,320,0,0
0,2071,0,0,58,322,0,0
0,2071,0,0,59,323,0,0
0,2072,0,0,60,325,0,0
0,2072,0,0,61,327,0,0
0,2073,0,0,62,329,0,0
0,2073,0,0,63,331,0,0
0,2074,0,0,64,333,0,0
0,2074,0,0,65,335,0,0
0,2074,0,0,66,336,0,0
0,2075,0,0,67,338,0,0
0,2075,0,0,68,340,0,0
0,2076,0,0,69,342,0,0
0,2076,0,0,70,344,0,0
0,2077,0,0,71,346,0,0
0,2077,0,0,72,348,0,0
0,2077,0,0,73,349,0,0
0,2078,0,0,74,351,0,0
0,2078,0,0,75,353,0,0
0,2079,0,0,76,355,0,0
0,2079,0,0,77,357,0,0
0,2080,0,0,78,359,0,0
0,2080,0,0,79,361,0,0
0,2080,0,0,80,362,0,0
0,2081,0,0,81,364,0,0
0,2081,0,0,82,366,0,0
0,2082,0,0,83,368,0,0
0,2082,0,0,84,370,0,0
0,2082,0,0,85,372,0,0
0,2083,0,0,86,374,0,0
0,2083,0,0,87,375,0,0
0,2084,0,0,88,377,0,0
0,2084,0,0,89,379,0,0
0,2084,0,0,90,381,0,0
0,2085,0,0,91,383,0,0
0,2085,0,0,92,385,0,0
0,2086,0,0,93,387,0,0
0,2086,0,0,94,388,0,0
0,2086,0,0,95,390,0,0
0,2087,0,0,96,392,0,0
0,2087,0,0,97,394,0,0
0,2087,0,0,98,396,0,0
0,2088,0,0,99,398,0,0
0,2088,0,0,100,400,0,0
0,2089,0,0,101,401,0,0
0,2089,0,0,102,403,0,0
0,2089,0,0,103,405,0,0
0,2090,0,0,104,407,0,0
0,2090,0,0,105,409,0,0
0,2090,0,0,106,411,0,0
0,2091,0,0,107,413,0,0
0,2091,0,0,108,415,0,0
0,2091,0,0,109,416,0,0
0,2092,0,0,110,418,0,0
0,2092,0,0,111,420,0,0
0,2093,0,0,112,422,0,0
0,2093,0,0,113,424,0,0
0,2093,0,0,114,426,0,0
0,2094,0,0,115,428,0,0
0,2094,0,0,116,429,0,0
0,2094,0,0,117,431,0,0
0,2095,0,0,118,433,0,0
0,2095,0,0,119,435,0,0
0,2095,0,0,120,437,0,0
0,2096,0,0,121,439,0,0
0,2096,0,0,122,441,0,0
0,2096,0,0,123,443,0,0
0,2097,0,0,124,444,0,0
0,2097,0,0,125,446,0,0
0,2097,0,0,126,448,0,0
0,2098,0,0,127,450,0,0
0,2098,0,0,128,452,0,0
0,2098,0,0,129,454,0,0
0,2099,0,0,129,456,0,0
0,2099,0,0,130,457,0,0
0,2099,0,0,131,459,0,0
0,2100,0,0,132,461,0,0
0,2100,0,0,133,463,0,0
0,2100,0,0,134,465,0,0
0,2101,0,0,135,467,0,0
0,2101,0,0,136,469,0,0
0,2101,0,0,137,471,0,0
0,2102,0,0,138,472,0,0
0,2102,0,0,139,474,0,0
0,2102,0,0,140,476,0,0
0,2103,0,0,141,478,0,0
0,2103,0,0,142,480,0,0
0,2103,0,0,143,482,0,0
0,2103,0,0,144,484,0,0
0,2104,0,0,145,485,0,0
0,2104,0,0,146,487,0,0
0,2104,0,0,147,489,0,0
0,2105,0,0,148,491,0,0
0,2105,0,0,149,493,0,0
0,2105,0,0,150,495,0,0
0,2106,0,0,151,497,0,0
0,2106,0,0,152,499,0,0
0,2106,0,0,153,500,0,0
0,2106,0,0,154,502,0,0
0,2107,0,0,155,504,0,0
0,2107,0,0,156,506,0,0
0,2107,0,0,157,508,0,0
0,2108,0,0,158,510,0,0
0,2108,0,0,159,512,0,0
0,2108,0,0,160,513,0,0
0,2108,0,0,161,515,0,0
0,2109,0,0,162,517,0,0
0,2109,0,0,163,519,0,0
0,2109,0,0,164,521,0,0
0,2109,0,0,165,523,0,0
0,2110,0,0,166,525,0,0
0,2110,0,0,167,527,0,0
0,2110,0,0,168,528,0,0
0,2111,0,0,169,530,0,0
0,2111,0,0,170,532,0,0
0,2111,0,0,171,534,0,0
0,2111,0,0,172,536,0,0
0,2112,0,0,173,538,0,0
0,2112,0,0,174,540,0,0
0,2112,0,0,175,542,0,0
0,2112,0,0,176,543,0,0
0,2113,0,0,177,545,0,0
0,2113,0,0,178,547,0,0
0,2113,0,0,179,549,0,0
0,2113,0,0,180,551,0,0
0,2114,0,0,181,553,0,0
0,2114,0,0,182,555,0,0
0,2114,0,0,183,557,0,0
0,2114,0,0,184,558,0,0
0,2115,0,0,185,560,0,0
0,2115,0,0,186,562,0,0
0,2115,0,0,187,564,0,0
0,2115,0,0,188,566,0,0
0,2116,0,0,189,568,0,0
0,2116,0,0,190,570,0,0
0,2116,0,0,191,572,0,0
0,2116,0,0,192,573,0,0
0,2116,0,0,193,575,0,0
0,2117,0,0,194,577,0,0
0,2117,0,0,195,579,0,0
0,2117,0,0,196,581,0,0
0,2117,0,0,197,583,0,0
0,2118,0,0,198,585,0,0
0,2118,0,0,199,586,0,0
0,2118,0,0,200,588,0,0
0,2118,0,0,201,590,0,0
0,2118,0,0,202,592,0,0
0,2119,0,0,203,594,0,0
0,2119,0,0,204,596,0,0
0,2119,0,0,205,598,0,0
0,2119,0,0,206,600,0,0
0,2119,0,0,207,601,0,0
0,2120,0,0,208,603,0,0
0,2120,0,0,209,605,0,0
0,2120,0,0,210,607,0,0
0,2120,0,0,211,609,0,0
0,2120,0,0,212,611,0,0
0,2121,0,0,213,613,0,0
0,2121,0,0,214,615,0,0
0,2121,0,0,215,616,0,0
0,2121,0,0,216,618,0,0
0,2121,0,0,217,620,0,0
0,2122,0,0,218,622,0,0
0,2122,0,0,219,624,0,0
0,2122,0,0,220,626,0,0
0,2122,0,0,221,628,0,0
0,2122,0,0,222,630,0,0
0,2123,0,0,223,631,0,0
0,2123,0,0,224,633,0,0
0,2123,0,0,225,635,0,0
