PLANT_INFO_SimulationTime:low,PLANT_INFO_VC:low,PLANT_INFO_Mode:low,CTRL_INFO_ModeSetting:low,PLANT_INFO_SimulationTime:high,PLANT_INFO_VC:high,PLANT_INFO_Mode:high,CTRL_INFO_ModeSetting:high
0,1200,1,0,0,2292,0,0
0,1197,1,0,1,2292,0,0
0,1195,0,0,2,2293,0,0
0,1195,0,0,3,2294,0,0
0,1194,0,0,4,2295,0,0
0,1193,0,0,5,2296,0,0
0,1193,0,0,6,2297,0,0
0,1192,0,0,6,2298,0,0
0,1192,0,0,8,2299,0,0
0,1191,0,0,9,2299,0,0
0,1191,0,0,10,2300,0,0
0,1190,0,0,11,2301,0,0
0,1189,0,0,12,2302,0,0
0,1189,0,0,13,2303,0,0
0,1188,0,0,14,2304,0,0
0,1188,0,0,15,2305,0,0
0,1187,0,0,16,2306,0,0
0,1187,0,0,17,2306,0,0
0,1186,0,0,18,2307,0,0
0,1185,0,0,19,2308,0,0
0,1185,0,0,20,2309,0,0
0,1184,0,1,21,2310,0,0
0,1184,0,1,22,2311,0,0
0,1183,1,1,23,2312,0,0
0,1181,1,1,24,2312,0,0
0,1179,1,1,25,2313,0,0
0,1176,1,1,26,2314,0,0
0,1174,1,1,27,2315,0,0
0,1172,1,1,28,2316,0,0
0,1170,1,1,29,2317,0,0
0,1168,1,1,30,2318,0,0
0,1165,1,1,31,2318,0,0
0,1163,1,1,32,2319,0,0
0,1161,1,1,33,2320,0,0
0,1159,1,1,34,2321,0,0
0,1157,1,1,35,2322,0,0
0,1154,1,1,36,2323,0,0
0,1152,1,1,37,2324,0,0
0,1150,1,1,38,2324,0,0
0,1148,1,1,39,2325,0,0
0,1146,1,1,40,2326,0,0
0,1143,1,1,41,2327,0,0
0,1141,1,1,42,2328,0,0
0,1139,1,1,43,2329,0,0
0,1137,1,1,44,2329,0,0
0,1135,1,1,45,2330,0,0
0,1132,1,1,46,2331,0,0
0,1130,1,1,47,2332,0,0
0,1128,1,1,48,2333,0,0
0,1126,1,1,49,2333,0,0
0,1123,1,1,50,2334,0,0
0,1121,1,1,51,2335,0,0
0,1119,1,1,52,2336,0,0
0,1117,1,1,53,2337,0,0
0,1115,1,1,54,2337,0,0
0,1112,1,1,55,2338,0,0
0,1110,1,1,56,2339,0,0
0,1108,1,1,57,2340,0,0
0,1106,1,1,58,2341,0,0
0,1104,1,1,59,2341,0,0
0,1101,1,1,60,2342,0,0
0,1099,1,1,61,2343,0,0
0,1097,1,1,62,2344,0,0
0,1095,1,1,63,2345,0,0
0,1093,1,1,64,2345,0,0
0,1090,1,1,65,2346,0,0
0,1088,1,1,66,2347,0,0
0,1086,1,1,67,2348,0,0
0,1084,1,1,68,2348,0,0
0,1082,1,1,69,2349,0,0
0,1079,1,1,70,2350,0,0
0,1077,1,1,71,2351,0,0
0,1075,1,1,72,2352,0,0
0,1073,1,1,73,2352,0,0
0,1071,1,1,74,2353,0,0
0,1068,1,1,75,2354,0,0
0,1066,1,1,76,2355,0,0
0,1064,1,1,77,2355,0,0
0,1062,1,1,78,2356,0,0
0,1060,1,1,79,2357,0,0
0,1058,1,1,80,2358,0,0
0,1055,1,1,81,2358,0,0
0,1053,1,1,82,2359,0,0
0,1051,1,1,83,2360,0,0
0,1049,1,1,84,2361,0,0
0,1047,1,1,85,2361,0,0
0,1044,1,1,86,2362,0,0
0,1042,1,1,87,2363,0,0
0,1040,1,1,88,2364,0,0
0,1038,1,1,89,2364,0,0
0,1036,1,1,90,2365,0,0
0,1033,1,1,91,2366,0,0
0,1031,1,1,92,2366,0,0
0,1029,1,1,93,2367,0,0
0,1027,1,1,94,2368,0,0
0,1025,1,1,95,2369,0,0
0,1022,1,1,96,2369,0,0
0,1020,1,1,97,2370,0,0
0,1018,1,1,98,2371,0,0
0,1016,1,1,99,2371,0,0
0,1014,1,1,100,2372,0,0
0,1011,1,1,101,2373,0,0
0,1009,1,1,102,2374,0,0
0,1007,1,1,103,2374,0,0
0,1005,1,1,104,2375,0,0
0,1003,1,1,105,2376,0,0
0,1001,1,1,106,2376,0,0
0,998,1,1,107,2377,0,0
0,996,1,1,108,2378,0,0
0,994,1,1,109,2378,0,0
0,992,1,1,110,2379,0,0
0,990,1,1,111,2380,0,0
0,987,1,1,112,2381,0,0
0,985,1,1,113,2381,0,0
0,983,1,1,114,2382,0,0
0,981,1,1,115,2383,0,0
0,979,1,1,116,2383,0,0
0,977,1,1,117,2384,0,0
0,974,1,1,118,2385,0,0
0,972,1,1,119,2385,0,0
0,970,1,1,120,2386,0,0
0,968,1,1,121,2387,0,0
0,966,1,1,122,2387,0,0
0,963,1,1,123,2388,0,0
0,961,1,1,124,2389,0,0
0,959,1,1,125,2389,0,0
0,957,1,1,126,2390,0,0
0,955,1,1,127,2391,0,0
0,953,1,1,128,2391,0,0
0,950,1,1,129,2392,0,0
0,948,1,1,129,2392,0,0
0,946,1,1,130,2393,0,0
0,944,1,1,131,2394,0,0
0,942,1,1,132,2394,0,0
0,939,1,1,133,2395,0,0
0,937,1,1,134,2396,0,0
0,935,1,1,135,2396,0,0
0,933,1,1,136,2397,0,0
0,931,1,1,137,2398,0,0
0,929,1,1,138,2398,0,0
0,926,1,1,139,2399,0,0
0,924,1,1,140,2399,0,0
0,922,1,1,141,2400,0,0
0,920,1,1,142,2401,0,0
0,918,1,1,143,2401,0,0
0,916,1,1,144,2402,0,0
0,913,1,1,145,2403,0,0
0,911,1,1,146,2403,0,0
0,909,1,1,147,2404,0,0
0,907,1,1,148,2404,0,0
0,905,1,1,149,2405,0,0
0,902,1,1,150,2406,0,0
0,900,1,1,151,2406,0,0
0,898,1,1,152,2407,0,0
0,896,1,1,153,2407,0,0
0,894,1,1,154,2408,0,0
0,892,1,1,155,2409,0,0
