PLANT_INFO_SimulationTime:low,PLANT_INFO_VC:low,PLANT_INFO_Mode:low,CTRL_INFO_ModeSetting:low,PLANT_INFO_SimulationTime:high,PLANT_INFO_VC:high,PLANT_INFO_Mode:high,CTRL_INFO_ModeSetting:high
0,949,0,1,0,1748,0,0
0,948,0,1,1,1748,0,0
0,948,1,1,2,1749,0,0
0,947,1,1,3,1750,0,0
0,945,1,1,4,1750,0,0
0,943,1,1,5,1751,0,0
0,942,1,1,6,1752,0,0
0,940,1,1,6,1752,0,0
0,938,1,1,8,1753,0,0
0,937,1,1,9,1754,0,0
0,935,1,1,10,1754,0,0
0,933,1,1,11,1755,0,0
0,932,1,1,12,1756,0,0
0,930,1,1,13,1757,0,0
0,928,1,1,14,1757,0,0
0,926,1,1,15,1758,0,0
0,925,1,1,16,1759,0,0
0,923,1,1,17,1759,0,0
0,921,1,1,18,1760,0,0
0,920,1,1,19,1761,0,0
0,918,1,1,20,1761,0,0
0,916,1,1,21,1762,0,0
0,915,1,1,22,1763,0,0
0,913,1,1,23,1763,0,0
0,911,1,1,24,1764,0,0
0,910,1,1,25,1765,0,0
0,908,1,1,26,1765,0,0
0,906,1,1,27,1766,0,0
0,904,1,1,28,1767,0,0
0,903,1,1,29,1767,0,0
0,901,1,1,30,1768,0,0
0,899,1,1,31,1769,0,0
0,898,1,1,32,1769,0,0
0,896,1,1,33,1770,0,0
0,894,1,1,34,1771,0,0
0,893,1,1,35,1771,0,0
0,891,1,1,36,1772,0,0
0,889,1,1,37,1773,0,0
0,888,1,1,38,1773,0,0
0,886,1,1,39,1774,0,0
0,884,1,1,40,1775,0,0
0,883,1,1,41,1775,0,0
0,881,1,1,42,1776,0,0
0,879,1,1,43,1776,0,0
0,877,1,1,44,1777,0,0
0,876,1,1,45,1778,0,0
0,874,1,1,46,1778,0,0
0,872,1,1,47,1779,0,0
0,871,1,1,48,1780,0,0
0,869,1,1,49,1780,0,0
0,867,1,1,50,1781,0,0
0,866,1,1,51,1782,0,0
0,864,1,1,52,1782,0,0
0,862,1,1,53,1783,0,0
0,861,1,1,54,1783,0,0
0,859,1,1,55,1784,0,0
