PLANT_INFO_VC:low,CTRL_INFO_ModeSetting:low,PLANT_INFO_Mode:low,PLANT_INFO_SimulationTime:low,PLANT_INFO_VC:high,CTRL_INFO_ModeSetting:high,PLANT_INFO_Mode:high,PLANT_INFO_SimulationTime:high
55,0,1,0,2009,0,0,5915
54,0,0,0,2009,0,0,5916
54,0,0,0,2009,0,0,5917
54,0,0,0,2009,0,0,5918
55,0,0,0,2009,0,0,5919
55,0,0,0,2009,0,0,5920
55,0,0,0,2009,0,0,5921
55,0,0,0,2008,0,0,5922
56,0,0,0,2008,0,0,5923
56,0,0,0,2008,0,0,5924
56,0,0,0,2008,0,0,5925
56,0,0,0,2008,0,0,5926
57,0,0,0,2008,0,0,5927
57,0,0,0,2008,0,0,5928
57,0,0,0,2007,0,0,5929
57,0,0,0,2007,0,0,5930
58,0,0,0,2007,0,0,5931
58,0,0,0,2007,0,0,5932
58,0,0,0,2007,0,0,5933
58,0,0,0,2007,0,0,5934
59,0,0,0,2007,0,0,5935
59,0,0,0,2007,0,0,5936
59,0,0,0,2006,0,0,5937
60,0,0,0,2006,0,0,5938
60,0,0,0,2006,0,0,5939
60,0,0,0,2006,0,0,5940
60,0,0,0,2006,0,0,5941
61,0,0,0,2006,0,0,5942
61,0,0,0,2006,0,0,5943
61,0,0,0,2006,0,0,5944
61,0,0,0,2005,0,0,5945
62,0,0,0,2005,0,0,5946
62,0,0,0,2005,0,0,5947
62,0,0,0,2005,0,0,5948
62,0,0,0,2005,0,0,5949
63,0,0,0,2005,0,0,5950
63,0,0,0,2005,0,0,5951
63,0,0,0,2005,0,0,5952
63,0,0,0,2004,0,0,5953
64,0,0,0,2004,0,0,5954
64,0,0,0,2004,0,0,5955
64,0,0,0,2004,0,0,5956
65,0,0,0,2004,0,0,5957
65,0,0,0,2004,0,0,5958
65,0,0,0,2004,0,0,5959
65,0,0,0,2004,0,0,5960
66,0,0,0,2003,0,0,5961
66,0,0,0,2003,0,0,5962
66,0,0,0,2003,0,0,5963
66,0,0,0,2003,0,0,5964
67,0,0,0,2003,0,0,5965
67,0,0,0,2003,0,0,5966
67,0,0,0,2003,0,0,5967
67,0,0,0,2003,0,0,5968
68,0,0,0,2002,0,0,5969
68,0,0,0,2002,0,0,5970
68,0,0,0,2002,0,0,5971
68,0,0,0,2002,0,0,5972
69,0,0,0,2002,0,0,5973
69,0,0,0,2002,0,0,5974
69,0,0,0,2002,0,0,5975
70,0,0,0,2002,0,0,5976
70,0,0,0,2002,0,0,5977
70,0,0,0,2001,0,0,5978
70,0,0,0,2001,0,0,5979
71,0,0,0,2001,0,0,5980
71,0,0,0,2001,0,0,5981
71,0,0,0,2001,0,0,5982
